Cliente Ordine ,Ragione Sociale ,Partita iva,Codice ateco,Codice ATECO 2025,Descrizione ATECO 2025,Codice ATECO Primario,Descrizione ATECO Primario
4,MULTI  DATA  SRL,02223460367,,62.1,Attività di programmazione informatica,62,"PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITÀ CONNESSE"
12,FIMO  SPA  - SOCIO  UNIC,03746700362,,46.64.99,Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.,46.69.99,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione n.c.a."
13,AUTEL SRL,00963880364,,27.12,Fabbricazione di apparecchiature per la distribuzione e il controllo dell'elettricità,27.12,Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricità
15,BELLONI IMPIANTI ELETTRI,02728771201,,43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici,43.21.01,Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
16,BCR  SRL,00310650361,,46.64.2,Commercio all'ingrosso di materiale elettrico per impianti industriali,46.69.2,Commercio all'ingrosso di materiale elettrico per impianti di uso industriale
17,POLEX DI STEFANO  GATTIC,05025640961,,28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma,28.96,Fabbricazione di macchine per l'industria delle materie plastiche e della gomma (incluse parti e accessori)
20,LINEA CITTA'    SRL,02222670404,,28.29.99,Fabbricazione di altre macchine varie di impiego generale n.c.a.,28.29.99,Fabbricazione di altro materiale meccanico e di altre macchine di impiego generale n.c.a.
21,TGM  SRL,01265230068,,29.31,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli,29.31,Fabbricazione di apparecchiature elettriche ed elettroniche per autoveicoli e loro motori
24,PROSAGRI SRL,01504900356,,28.30.99,Fabbricazione di altre macchine per l'agricoltura e la silvicoltura n.c.a.,28.30.9,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
33,NEW  PROJECT  SRL,03555720402,,28.4,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili,28.4,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
34,DUEFFE SRL,00111540423,,28.4,Fabbricazione di macchine per la deformazione dei metalli e di altre macchine utensili,28.4,FABBRICAZIONE DI MACCHINE PER LA FORMATURA DEI METALLI E DI ALTRE MACCHINE UTENSILI
39,ELFI SPA     (51),02698210404,,46.47.3,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi",46.47.3,Commercio all'ingrosso di articoli per l'illuminazione; materiale elettrico vario per uso domestico
49,ROSSI AMUSEMENT SRLS,04756360402,,95.10.1,Riparazione e manutenzione di computer e periferiche,95.11,Riparazione di computer e periferiche
50,VALMET TISSUE CONVERTING,00145160461,,28.95,Fabbricazione di macchine per l'industria della carta e del cartone,28.95,Fabbricazione di macchine per l'industria della carta e del cartone (incluse parti e accessori)
55,NEW STERN  INTERNATIONAL,03444401206,,28.22.09,Fabbricazione di altri apparecchi di sollevamento e movimentazione,28.22.02,"Fabbricazione di gru, argani, verricelli a mano e a motore, carrelli trasbordatori, carrelli elevatori e piattaforme girevoli"
62,ELETTROTECNICA IMOLESE,00593581200,,33.20.09,Installazione di altre macchine e apparecchiature industriali,33.20.09,Installazione di altre macchine ed apparecchiature industriali
