Cliente Ordine ,Ragione Sociale ,Partita iva,Codice ateco
4,MULTI  DATA  SRL,02223460367,
12,FIMO  SPA  - SOCIO  UNIC,03746700362,
13,AUTEL SRL,00963880364,
15,BELLONI IMPIANTI ELETTRI,02728771201,
16,BCR  SRL,00310650361,
17,POLEX DI STEFANO  GATTIC,05025640961,
20,LINEA CITTA'    SRL,02222670404,
21,TGM  SRL,01265230068,
24,PROSAGRI SRL,01504900356,
33,NEW  PROJECT  SRL,03555720402,
34,DUEFFE SRL,00111540423,
39,ELFI SPA     (51),02698210404,
49,ROSSI AMUSEMENT SRLS,04756360402,
50,VALMET TISSUE CONVERTING,00145160461,
55,NEW STERN  INTERNATIONAL,03444401206,
62,ELETTROTECNICA IMOLESE,00593581200,
70,SPARES SERVICE & MACHINE,00833431208,
72,ARMAROLI GIANCARLO,03979000373,
73,SWISSLOG ITALIA SRL,13406690159,
75,ELETTRICA 77 AUTOMATION,01808570350,
81,MARCHESINI GROUP  SPA,00680201209,
87,EMIREL  SRL,00591641204,
89,EL.COM  SRL,02203590985,
97,FEAB SISTEMI SRL,02797250368,
103,FORONI IVAN E C. SNC,02304360353,
106,FABBI IMOLA SRL,00574281200,
111,I.M.A. SPA,00500931209,
114,G.A.  SRL,00646481200,
115,G.D.  SPA            - C,02075320370,
120,V.A.M.M.S. TECNICA  SRL,01492250384,
122,G.R. ELETTRONICA SRL,01246100398,
125,ICA SPA,03452680378,
126,T.H.F. SRL - SOCIETA' UN,00851340349,
133,IMAL SRL,00313750366,
134,ITALPACK SRL,01457530408,
135,M & T SRL,03342140401,
136,RAIMONDI SPA,01496460369,
139,LOGEL  SRL  C/UNICO SOCI,02198670362,
147,DONATI FRANCO & C. SNC,01588581205,
152,MULTIPACK SRL,00573201209,
157,FABBRI 1905 SPA,00281980375,
167,OPEM SPA,00155580343,
168,O.A.M. SPA,00503681207,
171,OMAG SPA,02154180406,
175,P.B.E. COMMERCIALE SRL,01039620362,
177,P.M.E. SRL,00544371206,
178,AETNA GROUP SPA,01551781204,
180,V-SHAPES  SRL,03664681206,
181,RICOTH SRL,01143070397,
186,SACMI IMOLA S.C.,00498321207,
187,S.A.I.I.E.  SRL,00518230404,
188,SASIB SPA,04123450373,
190,RSB SRL  SEMPLIFICATA,03878471204,
195,TECMA  SNC,01741460354,
196,EUROGRU  AMICI  SRL,02099600385,
198,GRUPPO TECNOFERRARI SPA,01475650352,
200,SAMP  SRL,03965201209,
203,SUPPINI SRL,02222541209,
204,S.M. SRL,00702441205,
205,SENZANI BREVETTI  SPA,00082770397,
206,STROMAB SPA,01862700356,
208,SOTEMAPACK  SPA,01974391201,
209,AV  ELECTRONICS SRL  A S,01521720340,
213,S.A.M.U. AUTOMAZIONI SRL,02348010360,
214,FIMEC  SRL,01551500364,
220,TECNOCART IMBALLAGGI SRL,02397341203,
224,AMADEI  AURO  SRL,01942120369,
228,ZAMBELLI SRL,00547121202,
232,PAGLIERANI  SRL,01777590405,
236,CERAMICA DEL CONCA SPA,00819720400,
241,OSKAR  SRL,01883190207,
250,AEA  SRL,00686250424,
253,MAC DUE SRL,00512891201,
254,MEC.IND SRL,02202970360,
255,NILMA SPA,01574440341,
267,MATTEUZZI SRL,03832871200,
268,EPSOL  SRL,03120401207,
270,O.C.E. ELETTRONICA DI PO,00338641202,
273,ELETTROMECCANICA RENO SR,02198231207,
289,ELUMATEC  ITALIA  SRL,02155621200,
290,S.C.E. SRL,00762830362,
299,BAUMER SRL,02114770361,
301,LPM.GROUP  SPA,01225930377,
312,3F FILIPPI SPA,00529461204,
314,TORRESI RAFFAELE SRL,00910400431,
319,MICROM-EL SNC,00954350351,
320,IDROELETTRICA  SPA,01021580368,
333,CENTAURO SPA,00358910362,
335,C.M.  SURFACE  TREATMENT,01918330364,
341,C.A.T. PROGETTI SRL,00614261204,
345,MICRO SYSTEMS SRL,01306460369,
355,BIEFFEBI SRL,00500991203,
376,COMAR CONDENSATORI SPA,00593721202,
